region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
01,MA,ROSE DISPOSAL PIT,0100721,MAD980524169,BALANCE ROCK RD,LANESBORO,01237,BERKSHIRE,N,+42.505500,-073.274800,1986-06-10
01,MA,SILRESIM CHEMICAL CORP.,0100326,MAD000192393,86 TANNER ST,LOWELL,01853,MIDDLESEX,N,42.628889,-71.313889,1983-09-08
01,MA,SOUTH WEYMOUTH NAVAL AIR STATION,0101826,MA2170022022,1134 MAIN STREET,WEYMOUTH,02190,NORFOLK,Y,+42.155277,-70.933470,1994-05-31
01,MA,SULLIVAN'S LEDGE,0100744,MAD980731343,HATHAWAY RD,NEW BEDFORD,02740,BRISTOL,N,41.654719,-70.957219,1984-09-21
01,MA,SUTTON BROOK DISPOSAL AREA,0100686,MAD980520696,OFF OF SOUTH STREET,TEWKSBURY,01876,MIDDLESEX,N,42.598222,-71.183194,2001-06-14
01,MA,"W.R. GRACE & CO., INC. (ACTON PLANT)",0100350,MAD001002252,50 INDEPENDENCE RD,ACTON,01720,MIDDLESEX,N,+42.450550,-71.427781,1983-09-08
01,MA,WALTON & LONSBURY INC.,0100432,MAD001197755,78 NORTH AVENUE,ATTLEBORO,02703,BRISTOL,N,+41.957778,-071.296944,2013-05-24
01,MA,WELLS G&H,0100749,MAD980732168,ABERJONA RIVER VALLEY,WOBURN,01801,MIDDLESEX,N,42.494719,-71.130839,1983-09-08
01,ME,BRUNSWICK NAVAL AIR STATION,0101073,ME8170022018,RTE 24 AND 123,BRUNSWICK,04011,CUMBERLAND,Y,+43.906340,-69.933986,1987-07-22
01,ME,CALLAHAN MINING CORP,0101028,MED980524128,HARBORSIDE,BROOKSVILLE (CAPE ROSIER),04617,HANCOCK,N,44.351639,-68.810139,2002-09-05
01,ME,EASTERN SURPLUS,0101054,MED981073711,ROUTE 191,MEDDYBEMPS,04657,WASHINGTON,N,45.038889,-67.358333,1996-06-17
01,ME,EASTLAND WOOLEN MILL,0101043,MED980915474,MAIN STREET,CORINNA,04928,PENOBSCOT,N,44.921667,-69.261111,1999-07-22
01,ME,KEDDY MILL,0106078,MEN000106078,7 DEPOT STREET,WINDHAM,04062,CUMBERLAND,N,43.734953,-70.424514,2014-05-12
01,ME,LEEDS METAL,0103584,MEN000103584,OFF OF BLUE ROCK ROAD,LEEDS,04263,ANDROSCOGGIN,N,44.237083,-70.080250,2012-09-18
01,ME,LORING AIR FORCE BASE,0101074,ME9570024522,42 CSG/CC,LIMESTONE,04751,AROOSTOOK,Y,46.944444,-67.883888,1990-02-21
01,ME,MCKIN CO.,0101027,MED980524078,MAYALL RD,GRAY,04039,CUMBERLAND,N,+43.884100,-070.294200,1983-09-08
01,ME,PORTSMOUTH NAVAL SHIPYARD,0101072,ME7170022019,SEAVEY ISLAND,KITTERY,03904,YORK,Y,43.084167,-70.741666,1994-05-31
01,ME,SACO MUNICIPAL LANDFILL,0101010,MED980504393,FOSS RD,SACO,04072,YORK,N,+43.530200,-070.481500,1990-02-21
01,ME,WEST SITE/HOWS CORNERS,0101800,MED985466168,CAMBELL/SAWYER ROAD,PLYMOUTH,04969,PENOBSCOT,N,44.740278,-69.182222,1995-09-29
01,ME,WINTHROP LANDFILL,0101012,MED980504435,ANNABESSACOOK RD,WINTHROP,04364,KENNEBEC,N,44.275831,-69.988331,1983-09-08
01,NH,AUBURN ROAD LANDFILL,0101137,NHD980524086,AUBURN RD,LONDONDERRY,03053,ROCKINGHAM,N,+42.930200,-071.352900,1983-09-08
01,NH,BEEDE WASTE OIL,0102723,NHD018958140,7 THROUGH 11 KELLEY ROAD,PLAISTOW,03865,ROCKINGHAM,N,42.855075,-71.105889,1996-12-23
01,NH,CHLOR-ALKALI FACILITY (FORMER),0103313,NHN000103313,ADJACENT TO SAW MILL DAM,BERLIN,03570,COOS,N,44.479194,-71.167194,2005-09-14
Reg,St,Site Name,Site ID,EPA ID,Address,City,Zip,County,FF?,Latitude,Longitude,NA
01,NH,COAKLEY LANDFILL,0101107,NHD064424153,480 BREAKFAST HILL RD,NORTH HAMPTON,03840,ROCKINGHAM,N,43.001111,-70.817219,1986-06-10
01,NH,COLLINS & AIKMAN PLANT (FORMER),0105928,NHN000105928,Off Route 11 between Paulson Road to the NW  and,FARMINGTON,03835,STRAFFORD,N,43.372000,-71.058750,2013-12-12
,,,,,Meetinghouse Hill Road to the SE,,,,,,,NA
01,NH,DOVER MUNICIPAL LANDFILL,0101125,NHD980520191,TOLEND RD,DOVER,03820,STRAFFORD,N,+43.212500,-070.953000,1983-09-08
01,NH,FLETCHER'S PAINT WORKS & STORAGE,0101085,NHD001079649,21 ELM ST.,MILFORD,03055,HILLSBOROUGH,N,+42.835800,-071.655400,1989-03-31
01,NH,KEARSARGE METALLURGICAL CORP.,0101105,NHD062002001,MILL ST-RTE 113,CONWAY,03818,CARROLL,N,+43.972100,-071.129300,1984-09-21
01,NH,KEEFE ENVIRONMENTAL SERVICES (KES),0101114,NHD092059112,EXETER RD,EPPING,03042,ROCKINGHAM,N,43.024169,-71.033331,1983-09-08
01,NH,MOTTOLO PIG FARM,0101123,NHD980503361,BLUEBERRY HILL RD,RAYMOND,03077,ROCKINGHAM,N,42.989581,-71.173189,1987-07-22
01,NH,NEW HAMPSHIRE PLATING CO.,0101092,NHD001091453,WRIGHT AVE.,MERRIMACK,03054,HILLSBOROUGH,N,42.855833,-71.488888,1992-10-14
01,NH,OTTATI & GOSS/KINGSTON STEEL DRUM,0101210,NHD990717647,HAVERHILL RD RTE 125,KINGSTON,03848,ROCKINGHAM,N,42.897219,-71.080561,1983-09-08
01,NH,PEASE AIR FORCE BASE,0101213,NH7570024847,509 CSG/CC,PORTSMOUTH/NEWINGTON,03803,ROCKINGHAM,Y,43.080169,-070.821250,1990-02-21
01,NH,SAVAGE MUNICIPAL WATER SUPPLY,0101145,NHD980671002,NEAR RT 101,MILFORD,03055,HILLSBOROUGH,N,+42.841800,-071.688400,1984-09-21
01,NH,SOMERSWORTH SANITARY LANDFILL,0101128,NHD980520225,BLACKWATER RD,SOMERSWORTH,03878,STRAFFORD,N,+43.248900,-070.884500,1983-09-08
01,NH,SOUTH MUNICIPAL WATER SUPPLY WELL,0101146,NHD980671069,RT. 202,PETERBOROUGH,03458,HILLSBOROUGH,N,42.848900,-71.946800,1984-09-21
01,NH,SYLVESTER,0101115,NHD099363541,GILSON RD,NASHUA,03062,HILLSBOROUGH,N,+42.719700,-71.523111,1983-09-08
01,NH,TIBBETTS ROAD,0101208,NHD989090469,TIBBETTS RD.,BARRINGTON,03825,STRAFFORD,N,+43.180000,-071.034700,1986-06-10
01,NH,TINKHAM GARAGE,0101106,NHD062004569,RTE 102,LONDONDERRY,03053,ROCKINGHAM,N,42.860831,-71.351111,1983-09-08
01,NH,TROY MILLS LANDFILL,0101127,NHD980520217,OFF ROCKWOOD POND ROAD,TROY,03465,CHESHIRE,N,42.802583,-72.186944,2003-09-29
01,RI,CENTRAL LANDFILL,0101277,RID980520183,65 SHUN PIKE,JOHNSTON,02919,PROVIDENCE,N,41.808331,-71.534719,1986-06-10
01,RI,CENTREDALE MANOR RESTORATION PROJECT,0101388,RID981203755,2072 AND 2074 SMITH STREET (ROUTE 44),NORTH PROVIDENCE,02911,PROVIDENCE,N,41.857667,-071.487250,2000-02-04
01,RI,DAVIS LIQUID WASTE,0101283,RID980523070,TARKILN RD,SMITHFIELD,02828,PROVIDENCE,N,41.922219,-71.577769,1983-09-08
01,RI,DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER,0101430,RI6170022036,OFF SANFORD RD.,NORTH KINGSTOWN,02818,WASHINGTON,Y,+41.609500,-071.474220,1989-11-21
01,RI,"LANDFILL & RESOURCE RECOVERY, INC. (L&RR)",0101265,RID093212439,OXFORD RD,NORTH SMITHFIELD,02876,PROVIDENCE,N,+41.979500,-071.589000,1983-09-08
01,RI,NEWPORT NAVAL EDUCATION & TRAINING CENTER,0101431,RI6170085470,DEFENSE HIGHWAY (BURMA RD.),NEWPORT,02871,NEWPORT,Y,+41.564450,-71.293469,1989-11-21
01,RI,"PETERSON/PURITAN, INC.",0101247,RID055176283,MARTIN ST,LINCOLN/CUMBERLAND,02864,PROVIDENCE,N,41.929581,-071.426800,1983-09-08
01,RI,PICILLO FARM,0101284,RID980579056,PERRY HILL RD,COVENTRY,02816,KENT,N,41.671669,-71.709169,1983-09-08
01,RI,ROSE HILL REGIONAL LANDFILL,0101279,RID980521025,ROSE HILL RD,SOUTH KINGSTOWN,02880,WASHINGTON,N,41.470831,-71.491669,1989-10-04
01,RI,"STAMINA MILLS, INC.",0101291,RID980731442,MAIN ST,NORTH SMITHFIELD,02824,PROVIDENCE,N,+41.996400,-071.564700,1983-09-08
01,RI,WEST KINGSTON TOWN DUMP/URI DISPOSAL AREA,0101322,RID981063993,PLAINS ROAD,SOUTH KINGSTOWN,02881,WASHINGTON,N,41.496667,-71.535278,1992-10-14
01,RI,WESTERN SAND & GRAVEL,0101233,RID009764929,DOUGLAS PIKE,BURRILLVILLE,02895,PROVIDENCE,N,+41.972700,-071.595000,1983-09-08
01,VT,BENNINGTON MUNICIPAL SANITARY LANDFILL,0101493,VTD981064223,OFF HOUGHTON LANE,BENNINGTON,05201,BENNINGTON,N,42.922219,-73.197781,1989-03-31
01,VT,BFI SANITARY LANDFILL (ROCKINGHAM),0101475,VTD980520092,RTE 5,ROCKINGHAM,05101,WINDHAM,N,43.226389,-72.439719,1989-10-04
01,VT,BURGESS BROTHERS LANDFILL,0101450,VTD003965415,RTE 9,WOODFORD,05201,BENNINGTON,N,42.878061,-73.150139,1989-03-31
01,VT,COMMERCE STREET PLUME,0101470,VTD098352545,96 COMMERCE STREET (FORMLY 15,WILLISTON,05495,CHITTENDEN,N,44.452583,-73.121389,2005-04-27
,,,,,COMMERCE STREET),,,,,,,NA
01,VT,ELIZABETH MINE,0102071,VTD988366621,MINE ROAD,STRAFFORD,05070,ORANGE,N,43.823889,-72.328889,2001-06-14
01,VT,ELY COPPER MINE,0102065,VTD988366571,TOWN HIGHWAY 38,VERSHIRE,05079,ORANGE,N,43.927447,-72.285506,2001-09-13
01,VT,"JARD COMPANY, INC.",0102282,VTD048141741,259 BOWEN ROAD,BENNINGTON,05201,BENNINGTON,N,+42.888861,-73.189111,2014-09-22
01,VT,OLD SPRINGFIELD LANDFILL,0101437,VTD000860239,WILL DEAN RD,SPRINGFIELD,05156,WINDSOR,N,43.272781,-72.466669,1983-09-08
01,VT,PARKER SANITARY LANDFILL,0101491,VTD981062441,LILY POND RD.,LYNDON,05849,CALEDONIA,N,44.518611,-71.989439,1990-02-21
01,VT,PIKE HILL COPPER MINE,0102121,VTD988366720,PIKE HILL ROAD,CORINTH,05039,ORANGE,N,44.057333,-72.306917,2004-07-22
01,VT,PINE STREET CANAL,0101479,VTD980523062,PINE STREET,BURLINGTON,05401,CHITTENDEN,N,44.466669,-73.218061,1983-09-08
01,VT,POWNAL TANNERY,0101463,VTD069910354,ROUTE 346,POWNAL,05261,BENNINGTON,N,42.797167,-073.265750,1999-01-19
02,NJ,A. O. POLYMER,0200290,NJD030253355,44 STATION ROAD,SPARTA TOWNSHIP,07871,SUSSEX,N,+41.048050,-074.630000,1983-09-08
02,NJ,AMERICAN CYANAMID CO,0200144,NJD002173276,EASTON TURNPIKE,BRIDGEWATER,08805,SOMERSET,N,40.555561,-074.559450,1983-09-08
02,NJ,ATLANTIC RESOURCES,0201116,NJD981558430,120 HORSESHOE ROAD,SAYREVILLE,08872,MIDDLESEX,N,40.486111,-74.319444,2002-09-05
02,NJ,BOG CREEK FARM,0200397,NJD063157150,SQUANRUM RD. (MONMOUTH CO. RT. 547),HOWELL TOWNSHIP,07727,MONMOUTH,N,40.150831,-74.161111,1983-09-08
02,NJ,BRICK TOWNSHIP LANDFILL,0200540,NJD980505176,SALLY IKE ROAD,BRICK TOWNSHIP,08723,OCEAN,N,+40.109800,-074.131100,1983-09-08
02,NJ,BRIDGEPORT RENTAL & OIL SERVICES,0200364,NJD053292652,CEDAR SWAMP RD,BRIDGEPORT,08014,GLOUCESTER,N,39.801669,-75.321661,1983-09-08
02,NJ,BROOK INDUSTRIAL PARK,0200450,NJD078251675,100 WEST MAIN STREET,BOUND BROOK,08805,SOMERSET,N,40.560139,-74.536111,1989-10-04
02,NJ,BURNT FLY BOG,0200528,NJD980504997,TYLERS LANE,MARLBORO TOWNSHIP,07746,MONMOUTH,N,+40.375000,-74.279169,1983-09-08
